training size,testing size,loss function,batch size,learning rate,epoch,control trainning accuracy,copy trainning accuracy,control testing accuracy,copy testing accuracy
100,9900,BCELoss,50,3e-05,200,0.76,0.9,0.5481818181818182,0.6188888888888889
100,9900,BCELoss,50,5e-05,50,0.35,0.64,0.25757575757575757,0.42797979797979796
100,9900,BCELoss,50,5e-05,50,0.54,0.71,0.36393939393939395,0.4603030303030303
100,9900,BCELoss,50,5e-05,50,0.58,0.65,0.38272727272727275,0.3997979797979798
100,9900,BCELoss,50,5e-05,50,0.5,0.56,0.336969696969697,0.368989898989899
100,9900,BCELoss,50,5e-05,50,0.4,0.64,0.23434343434343435,0.3988888888888889
100,9900,BCELoss,50,5e-05,50,0.48,0.59,0.29343434343434344,0.35353535353535354
100,9900,BCELoss,50,5e-05,50,0.53,0.62,0.37646464646464645,0.45242424242424245
100,9900,BCELoss,50,5e-05,50,0.38,0.52,0.2492929292929293,0.3468686868686869
100,9900,BCELoss,50,5e-05,50,0.49,0.69,0.35484848484848486,0.4494949494949495
100,9900,BCELoss,50,5e-05,50,0.54,0.68,0.34565656565656566,0.4613131313131313
100,9900,BCELoss,50,5e-05,100,0.55,0.91,0.46090909090909093,0.6434343434343435
100,9900,BCELoss,50,5e-05,100,0.77,0.75,0.5557575757575758,0.526060606060606
100,9900,BCELoss,50,5e-05,100,0.56,0.9,0.4806060606060606,0.6345454545454545
100,9900,BCELoss,50,5e-05,100,0.76,0.76,0.5323232323232323,0.5254545454545455
100,9900,BCELoss,50,5e-05,100,0.69,0.86,0.4612121212121212,0.6061616161616161
100,9900,BCELoss,50,5e-05,100,0.66,0.87,0.5344444444444445,0.5934343434343434
100,9900,BCELoss,50,5e-05,100,0.66,0.84,0.47525252525252526,0.5612121212121212
100,9900,BCELoss,50,5e-05,100,0.68,0.82,0.4998989898989899,0.5618181818181818
100,9900,BCELoss,50,5e-05,100,0.68,0.82,0.43646464646464644,0.6392929292929292
100,9900,BCELoss,50,5e-05,100,0.67,0.83,0.5325252525252525,0.5637373737373738
100,9900,BCELoss,50,5e-05,200,0.96,0.96,0.7392929292929293,0.7511111111111111
100,9900,BCELoss,50,5e-05,200,0.94,0.98,0.7342424242424243,0.7618181818181818
100,9900,BCELoss,50,5e-05,200,0.88,0.94,0.6989898989898989,0.7519191919191919
100,9900,BCELoss,50,5e-05,200,0.85,0.96,0.6586868686868687,0.7548484848484849
100,9900,BCELoss,50,5e-05,200,0.94,0.96,0.7266666666666667,0.7145454545454546
100,9900,BCELoss,50,5e-05,200,0.89,0.98,0.7088888888888889,0.7576767676767677
100,9900,BCELoss,50,5e-05,200,0.91,0.98,0.7246464646464646,0.758989898989899
100,9900,BCELoss,50,5e-05,200,0.98,0.99,0.7317171717171718,0.7552525252525253
100,9900,BCELoss,50,5e-05,200,0.94,0.9,0.7328282828282828,0.7428282828282828
100,9900,BCELoss,50,5e-05,200,0.95,0.96,0.7134343434343434,0.7172727272727273
100,9900,BCELoss,50,7e-05,50,0.63,0.81,0.4395959595959596,0.4708080808080808
100,9900,BCELoss,50,7e-05,50,0.64,0.8,0.4811111111111111,0.5202020202020202
100,9900,BCELoss,50,7e-05,50,0.59,0.88,0.3572727272727273,0.583939393939394
100,9900,BCELoss,50,7e-05,50,0.63,0.68,0.44565656565656564,0.44727272727272727
100,9900,BCELoss,50,7e-05,50,0.6,0.85,0.43313131313131314,0.5406060606060606
100,9900,BCELoss,50,7e-05,50,0.57,0.68,0.3888888888888889,0.41
100,9900,BCELoss,50,7e-05,50,0.44,0.61,0.31323232323232325,0.46646464646464647
100,9900,BCELoss,50,7e-05,50,0.62,0.72,0.3562626262626263,0.46090909090909093
100,9900,BCELoss,50,7e-05,50,0.53,0.77,0.3896969696969697,0.5563636363636364
100,9900,BCELoss,50,7e-05,50,0.63,0.72,0.45585858585858585,0.5014141414141414
100,9900,BCELoss,50,7e-05,100,0.76,0.88,0.613030303030303,0.6717171717171717
100,9900,BCELoss,50,7e-05,100,0.78,0.89,0.6512121212121212,0.7091919191919192
100,9900,BCELoss,50,7e-05,100,0.85,0.91,0.6648484848484848,0.6585858585858586
100,9900,BCELoss,50,7e-05,100,0.79,0.92,0.6448484848484849,0.6897979797979797
100,9900,BCELoss,50,7e-05,100,0.79,0.91,0.6125252525252525,0.694040404040404
100,9900,BCELoss,50,7e-05,100,0.74,0.87,0.5423232323232323,0.6807070707070707
100,9900,BCELoss,50,7e-05,100,0.93,0.93,0.6951515151515152,0.6947474747474748
100,9900,BCELoss,50,7e-05,100,0.76,0.87,0.6334343434343435,0.6961616161616162
100,9900,BCELoss,50,7e-05,100,0.77,0.91,0.6014141414141414,0.6854545454545454
100,9900,BCELoss,50,7e-05,100,0.68,0.87,0.5838383838383838,0.6608080808080808
100,9900,BCELoss,50,7e-05,200,0.97,0.93,0.7581818181818182,0.7790909090909091
100,9900,BCELoss,50,7e-05,200,0.99,0.99,0.7536363636363637,0.7633333333333333
100,9900,BCELoss,50,7e-05,200,1.0,0.99,0.7633333333333333,0.7494949494949495
100,9900,BCELoss,50,7e-05,200,0.96,0.97,0.7765656565656566,0.7744444444444445
100,9900,BCELoss,50,7e-05,200,0.87,0.95,0.6933333333333334,0.7678787878787878
100,9900,BCELoss,50,7e-05,200,0.95,0.98,0.7437373737373737,0.7550505050505051
100,9900,BCELoss,50,7e-05,200,0.94,0.97,0.7242424242424242,0.7523232323232323
100,9900,BCELoss,50,7e-05,200,0.9,0.99,0.721919191919192,0.7809090909090909
100,9900,BCELoss,50,7e-05,200,0.97,0.93,0.7474747474747475,0.7650505050505051
100,9900,BCELoss,50,7e-05,200,0.98,0.95,0.7314141414141414,0.7463636363636363
100,9900,BCELoss,50,0.0001,50,0.61,0.84,0.45707070707070707,0.6081818181818182
100,9900,BCELoss,50,0.0001,50,0.57,0.86,0.3844444444444444,0.6385858585858586
100,9900,BCELoss,50,0.0001,50,0.67,0.79,0.5202020202020202,0.6044444444444445
100,9900,BCELoss,50,0.0001,50,0.69,0.83,0.5733333333333334,0.5936363636363636
100,9900,BCELoss,50,0.0001,50,0.59,0.8,0.40595959595959596,0.5755555555555556
100,9900,BCELoss,50,0.0001,50,0.57,0.87,0.43616161616161614,0.6226262626262626
100,9900,BCELoss,50,0.0001,50,0.7,0.88,0.5162626262626263,0.5977777777777777
100,9900,BCELoss,50,0.0001,50,0.64,0.85,0.47535353535353536,0.5975757575757575
100,9900,BCELoss,50,0.0001,50,0.62,0.82,0.47565656565656567,0.588989898989899
100,9900,BCELoss,50,0.0001,50,0.64,0.84,0.5113131313131313,0.62
100,9900,BCELoss,50,0.0001,100,0.9,0.99,0.7069696969696969,0.7368686868686869
100,9900,BCELoss,50,0.0001,100,0.86,0.96,0.6996969696969697,0.7369696969696969
100,9900,BCELoss,50,0.0001,100,0.77,0.96,0.598989898989899,0.6815151515151515
100,9900,BCELoss,50,0.0001,100,0.94,0.96,0.7325252525252526,0.7516161616161616
100,9900,BCELoss,50,0.0001,100,0.84,0.97,0.6733333333333333,0.7360606060606061
100,9900,BCELoss,50,0.0001,100,0.95,1.0,0.7035353535353536,0.7457575757575757
100,9900,BCELoss,50,0.0001,100,0.94,0.96,0.7273737373737373,0.7514141414141414
100,9900,BCELoss,50,0.0001,100,0.93,0.94,0.7260606060606061,0.7411111111111112
100,9900,BCELoss,50,0.0001,100,0.8,0.96,0.6461616161616162,0.7242424242424242
100,9900,BCELoss,50,0.0001,100,0.92,0.95,0.7163636363636363,0.7404040404040404
100,9900,BCELoss,50,0.0001,200,0.99,0.94,0.7388888888888889,0.7805050505050505
100,9900,BCELoss,50,0.0001,200,1.0,0.98,0.7765656565656566,0.7756565656565657
100,9900,BCELoss,50,0.0001,200,1.0,0.98,0.7645454545454545,0.7507070707070707
100,9900,BCELoss,50,0.0001,200,0.98,0.98,0.7153535353535354,0.7235353535353536
100,9900,BCELoss,50,0.0001,200,1.0,0.97,0.7368686868686869,0.7494949494949495
100,9900,BCELoss,50,0.0001,200,0.95,0.99,0.758989898989899,0.793939393939394
100,9900,BCELoss,50,0.0001,200,0.98,0.98,0.7069696969696969,0.7581818181818182
100,9900,BCELoss,50,0.0001,200,1.0,0.99,0.795050505050505,0.7938383838383838
100,9900,BCELoss,50,0.0001,200,0.98,0.97,0.7550505050505051,0.7922222222222223
100,9900,BCELoss,50,0.0001,200,0.99,0.97,0.7772727272727272,0.7864646464646464
100,9900,BCELoss,100,1e-05,50,0.17,0.08,0.13747474747474747,0.09757575757575758
100,9900,BCELoss,100,1e-05,50,0.11,0.16,0.09181818181818181,0.11282828282828283
100,9900,BCELoss,100,1e-05,50,0.12,0.09,0.08949494949494949,0.0697979797979798
100,9900,BCELoss,100,1e-05,50,0.1,0.09,0.09747474747474748,0.09616161616161616
100,9900,BCELoss,100,1e-05,50,0.16,0.18,0.10939393939393939,0.0993939393939394
100,9900,BCELoss,100,1e-05,50,0.12,0.18,0.09636363636363636,0.10818181818181818
100,9900,BCELoss,100,1e-05,50,0.13,0.16,0.15717171717171718,0.1304040404040404
100,9900,BCELoss,100,1e-05,50,0.18,0.14,0.11575757575757575,0.13363636363636364
100,9900,BCELoss,100,1e-05,50,0.21,0.17,0.1509090909090909,0.13141414141414143
100,9900,BCELoss,100,1e-05,50,0.11,0.14,0.12464646464646464,0.07606060606060606
100,9900,BCELoss,100,1e-05,100,0.31,0.14,0.20454545454545456,0.14262626262626263
100,9900,BCELoss,100,1e-05,100,0.19,0.25,0.11606060606060606,0.177979797979798
100,9900,BCELoss,100,1e-05,100,0.16,0.23,0.15838383838383838,0.13808080808080808
100,9900,BCELoss,100,1e-05,100,0.28,0.1,0.19646464646464645,0.12292929292929293
100,9900,BCELoss,100,1e-05,100,0.21,0.23,0.1782828282828283,0.18181818181818182
100,9900,BCELoss,100,1e-05,100,0.24,0.36,0.15535353535353535,0.21222222222222223
100,9900,BCELoss,100,1e-05,100,0.11,0.2,0.10595959595959596,0.15444444444444444
100,9900,BCELoss,100,1e-05,100,0.23,0.2,0.17191919191919192,0.19616161616161615
100,9900,BCELoss,100,1e-05,100,0.24,0.09,0.1384848484848485,0.10292929292929293
100,9900,BCELoss,100,1e-05,100,0.28,0.22,0.18282828282828284,0.1807070707070707
100,9900,BCELoss,100,1e-05,200,0.31,0.34,0.171010101010101,0.23303030303030303
100,9900,BCELoss,100,1e-05,200,0.16,0.36,0.13424242424242425,0.2683838383838384
100,9900,BCELoss,100,1e-05,200,0.3,0.31,0.16474747474747475,0.2318181818181818
100,9900,BCELoss,100,1e-05,200,0.35,0.21,0.19474747474747475,0.15313131313131312
100,9900,BCELoss,100,1e-05,200,0.18,0.29,0.10898989898989898,0.18898989898989899
100,9900,BCELoss,100,1e-05,200,0.39,0.39,0.22363636363636363,0.2306060606060606
100,9900,BCELoss,100,1e-05,200,0.37,0.39,0.22525252525252526,0.231010101010101
100,9900,BCELoss,100,1e-05,200,0.37,0.37,0.23666666666666666,0.27070707070707073
100,9900,BCELoss,100,1e-05,200,0.21,0.27,0.1713131313131313,0.19646464646464645
100,9900,BCELoss,100,1e-05,200,0.31,0.4,0.26212121212121214,0.2673737373737374
100,9900,BCELoss,100,3e-05,50,0.33,0.18,0.22454545454545455,0.1396969696969697
100,9900,BCELoss,100,3e-05,50,0.22,0.33,0.17909090909090908,0.1812121212121212
100,9900,BCELoss,100,3e-05,50,0.26,0.37,0.22737373737373737,0.23626262626262626
100,9900,BCELoss,100,3e-05,50,0.26,0.2,0.13545454545454547,0.15353535353535352
100,9900,BCELoss,100,3e-05,50,0.27,0.34,0.17636363636363636,0.26535353535353534
100,9900,BCELoss,100,3e-05,50,0.3,0.25,0.1904040404040404,0.19383838383838384
100,9900,BCELoss,100,3e-05,50,0.17,0.4,0.13,0.2493939393939394
100,9900,BCELoss,100,3e-05,50,0.22,0.28,0.16575757575757577,0.1874747474747475
100,9900,BCELoss,100,3e-05,50,0.3,0.18,0.2087878787878788,0.19282828282828282
100,9900,BCELoss,100,3e-05,50,0.35,0.22,0.22373737373737373,0.19484848484848485
100,9900,BCELoss,100,3e-05,100,0.43,0.54,0.30656565656565654,0.31545454545454543
100,9900,BCELoss,100,3e-05,100,0.42,0.36,0.2381818181818182,0.26707070707070707
100,9900,BCELoss,100,3e-05,100,0.45,0.62,0.34525252525252526,0.3387878787878788
100,9900,BCELoss,100,3e-05,100,0.47,0.5,0.3384848484848485,0.35909090909090907
100,9900,BCELoss,100,3e-05,100,0.53,0.41,0.3105050505050505,0.3016161616161616
100,9900,BCELoss,100,3e-05,100,0.42,0.42,0.31676767676767675,0.2863636363636364
100,9900,BCELoss,100,3e-05,100,0.37,0.55,0.21424242424242423,0.3845454545454545
100,9900,BCELoss,100,3e-05,100,0.6,0.51,0.38686868686868686,0.37454545454545457
100,9900,BCELoss,100,3e-05,100,0.54,0.46,0.2804040404040404,0.30424242424242426
100,9900,BCELoss,100,3e-05,100,0.52,0.45,0.34575757575757576,0.30424242424242426
100,9900,BCELoss,100,3e-05,200,0.47,0.82,0.4016161616161616,0.492020202020202
100,9900,BCELoss,100,3e-05,200,0.62,0.82,0.48808080808080806,0.5616161616161616
100,9900,BCELoss,100,3e-05,200,0.65,0.83,0.39585858585858585,0.5545454545454546
100,9900,BCELoss,100,3e-05,200,0.56,0.65,0.43212121212121213,0.4488888888888889
100,9900,BCELoss,100,3e-05,200,0.67,0.87,0.4441414141414141,0.6135353535353535
100,9900,BCELoss,100,3e-05,200,0.56,0.82,0.4394949494949495,0.5320202020202021
100,9900,BCELoss,100,3e-05,200,0.6,0.75,0.4125252525252525,0.4953535353535354
100,9900,BCELoss,100,3e-05,200,0.56,0.76,0.42313131313131314,0.5552525252525252
100,9900,BCELoss,100,3e-05,200,0.47,0.77,0.37292929292929294,0.5465656565656566
100,9900,BCELoss,100,3e-05,200,0.58,0.77,0.4495959595959596,0.48868686868686867
100,9900,BCELoss,100,5e-05,50,0.39,0.52,0.2792929292929293,0.3806060606060606
100,9900,BCELoss,100,5e-05,50,0.4,0.38,0.3053535353535354,0.3149494949494949
100,9900,BCELoss,100,5e-05,50,0.32,0.36,0.18535353535353535,0.22777777777777777
100,9900,BCELoss,100,5e-05,50,0.31,0.29,0.20262626262626263,0.1411111111111111
100,9900,BCELoss,100,5e-05,50,0.44,0.46,0.26292929292929296,0.3019191919191919
100,9900,BCELoss,100,5e-05,50,0.3,0.43,0.2396969696969697,0.30656565656565654
100,9900,BCELoss,100,5e-05,50,0.3,0.48,0.2604040404040404,0.36414141414141415
100,9900,BCELoss,100,5e-05,50,0.46,0.52,0.3331313131313131,0.2916161616161616
100,9900,BCELoss,100,5e-05,50,0.32,0.46,0.22434343434343434,0.2905050505050505
100,9900,BCELoss,100,5e-05,50,0.21,0.56,0.1405050505050505,0.3503030303030303
100,9900,BCELoss,100,5e-05,100,0.57,0.73,0.4619191919191919,0.41848484848484846
100,9900,BCELoss,100,5e-05,100,0.41,0.68,0.2786868686868687,0.4777777777777778
