training size,testing size,loss function,batch size,learning rate,epoch,control trainning accuracy,copy trainning accuracy,control testing accuracy,copy testing accuracy
100,9900,BCELoss,100,1e-05,200,0.28,0.26,0.21404040404040403,0.16737373737373737
100,9900,BCELoss,100,5e-05,50,0.23,0.5,0.17232323232323232,0.3415151515151515
100,9900,BCELoss,100,5e-05,50,0.29,0.45,0.20494949494949494,0.28575757575757577
100,9900,BCELoss,100,5e-05,50,0.41,0.48,0.2970707070707071,0.34535353535353536
100,9900,BCELoss,100,5e-05,50,0.33,0.38,0.2380808080808081,0.258989898989899
100,9900,BCELoss,100,5e-05,50,0.49,0.39,0.3291919191919192,0.20292929292929293
100,9900,BCELoss,100,5e-05,50,0.39,0.38,0.17191919191919192,0.2503030303030303
100,9900,BCELoss,100,5e-05,50,0.43,0.45,0.2870707070707071,0.3203030303030303
100,9900,BCELoss,100,5e-05,50,0.23,0.33,0.14333333333333334,0.2545454545454545
100,9900,BCELoss,100,5e-05,50,0.29,0.53,0.22181818181818183,0.2921212121212121
100,9900,BCELoss,100,5e-05,50,0.29,0.53,0.2,0.31191919191919193
100,9900,BCELoss,100,5e-05,50,0.49,0.48,0.37313131313131315,0.3098989898989899
100,9900,BCELoss,100,5e-05,50,0.44,0.39,0.27565656565656566,0.27646464646464647
100,9900,BCELoss,100,5e-05,50,0.45,0.47,0.333030303030303,0.30393939393939395
100,9900,BCELoss,100,5e-05,50,0.46,0.52,0.31747474747474747,0.3381818181818182
100,9900,BCELoss,100,5e-05,50,0.28,0.37,0.19777777777777777,0.2802020202020202
100,9900,BCELoss,100,5e-05,50,0.34,0.38,0.23929292929292928,0.27454545454545454
100,9900,BCELoss,100,5e-05,50,0.2,0.47,0.15181818181818182,0.35777777777777775
100,9900,BCELoss,100,5e-05,50,0.41,0.39,0.2693939393939394,0.2632323232323232
100,9900,BCELoss,100,5e-05,50,0.29,0.28,0.15505050505050505,0.18848484848484848
100,9900,BCELoss,100,5e-05,50,0.38,0.35,0.21595959595959596,0.2309090909090909
100,9900,BCELoss,100,5e-05,100,0.42,0.65,0.3102020202020202,0.4603030303030303
100,9900,BCELoss,100,5e-05,100,0.47,0.74,0.35434343434343435,0.5041414141414141
100,9900,BCELoss,100,5e-05,100,0.51,0.66,0.3506060606060606,0.5285858585858586
100,9900,BCELoss,100,5e-05,100,0.52,0.5,0.32545454545454544,0.40545454545454546
100,9900,BCELoss,100,5e-05,100,0.44,0.54,0.3795959595959596,0.4118181818181818
